,total_voxels,left_1,right_1,left_2,right_2,left_3,right_3,left_4,right_4,left_5,right_5,left_6,right_6,left_7,right_7,left_8,right_8,left_9,right_9,left_10,right_10,left_11,right_11,left_12,right_12
s0787,91777,103,159,1614,1409,3117,3180,5686,6419,6540,7360,7205,8192,7088,7468,5124,5523,4047,4254,2574,2801,940,973,1,0
s0593,72313,2481,2089,2635,2742,3335,3126,3777,3739,3753,4032,4232,4154,4009,4275,3373,3620,3277,3107,3026,2355,1771,1967,627,811
s0627,22908,2172,2694,3112,2939,2673,2517,2220,1720,1343,1022,308,188,0,0,0,0,0,0,0,0,0,0,0,0
s1192,25568,1873,2753,3621,2948,2893,2393,2591,2364,2093,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0585,114175,3325,4552,4180,4066,4146,4580,5138,5614,5944,6873,7576,8045,7540,7687,5922,6499,4286,5559,2475,4576,2780,2524,96,192
s1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0764,117128,3508,3347,4115,4049,4657,4518,6052,5987,6809,6694,7584,7048,7653,6964,6372,6869,5495,5607,4523,3788,2674,2370,51,394
s1206,96057,2048,1235,3160,2764,3862,3021,4400,4506,4765,5127,5677,5338,6242,7321,5414,6078,4611,5783,4227,4464,2039,2618,624,733
s1310,79219,2377,2599,2531,3105,2756,2620,3326,3421,4326,4568,4336,4590,4360,4817,4177,4296,3780,3898,3654,3590,2061,2103,1034,894
s0686,144740,3082,3087,4275,4107,4671,4725,5761,6001,7670,7085,8836,8758,9405,10168,7775,8946,6661,6804,6040,6207,4875,5096,2085,2620
s0597,48363,2405,2955,4412,4493,4247,4890,4933,6701,4938,4249,1875,2265,0,0,0,0,0,0,0,0,0,0,0,0
s0035,74765,3368,4067,4001,3466,4199,4121,5599,5431,5199,4986,4575,5089,4566,5057,3432,4507,1833,1269,0,0,0,0,0,0
s0135,37752,0,0,0,0,0,0,0,0,837,87,1743,1501,2688,2368,2572,2475,3791,3416,4342,4006,2584,2702,1289,1351
s0789,145399,3406,3156,4921,4702,5960,5586,7638,7007,7251,8123,9521,9081,9478,9071,7700,8029,7305,6932,5707,5815,3342,3414,1270,984
s0899,134331,3648,3617,3015,3182,4216,4135,5117,5306,6541,6609,6989,7327,8516,8219,7579,8222,7069,7658,6309,6369,4849,4595,2449,2795
s0292,18799,2954,3552,2834,2709,1716,1714,1297,1520,98,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0408,109378,3156,2891,3269,3593,4027,3862,4989,5357,5848,6150,6558,6611,7568,7043,5901,5880,5163,5168,3757,4078,2537,2886,1627,1459
s1270,131936,2093,5546,4620,4266,6403,5973,7163,7045,7695,8013,8932,8554,8051,8428,5736,7799,6939,6599,3760,4792,1533,1804,0,192
s0687,82165,1862,1909,2579,2694,2945,3022,3731,4137,4093,4410,4442,5360,4927,4997,4168,4598,3725,4173,3347,3287,2672,2332,1272,1483
s1123,136949,2985,3398,4517,4127,5086,4940,5710,6358,7368,7178,7674,8129,9068,8768,7247,7798,6269,6738,5616,5535,3618,4289,2304,2229
s0642,9957,1438,1318,2081,2328,1346,1236,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0077,32219,0,0,0,0,0,0,0,0,0,0,0,0,1596,957,4043,2735,5727,4589,4433,4064,1860,2178,37,0
s0604,91985,3368,2561,2720,3187,3432,3412,4188,4487,4641,5185,5022,5441,6007,5586,5574,5776,4156,4661,3074,3348,2031,2015,1101,1012
s1102,111212,2179,2469,3821,3645,5519,5467,5857,5890,6644,6833,6698,6416,5435,6213,5717,5923,6034,4741,4424,4172,2729,2467,896,1023
s0106,77823,0,0,0,0,8,6,2182,1273,3558,4294,5306,5387,6348,7201,6760,6853,5428,5921,4595,5036,2690,2530,1091,1356
s1273,152758,3647,3779,4959,5286,5733,6164,7246,7603,7847,8757,9030,9588,10411,9402,8427,8539,7691,7667,6096,6118,3474,2927,1380,987
s1352,12295,2506,3376,1206,1249,741,826,504,606,585,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1292,100467,2364,2830,3211,3718,3702,3686,4666,4532,5365,5356,6091,6581,6700,6940,5417,5337,4816,4718,3503,3740,2545,2286,1184,1179
s0237,13540,0,0,0,0,0,0,0,0,0,0,342,470,1049,1094,991,1169,1350,1302,1176,1479,1512,1171,261,174
s0199,40789,0,0,0,0,0,0,0,0,682,466,2117,1692,3873,3575,3846,4454,4833,4989,3428,3825,1407,1562,0,40
s0128,19528,0,0,0,0,0,0,1,0,50,31,893,951,1554,1718,1548,1707,2334,3003,1995,1931,958,842,12,0
s1051,7912,1548,1722,1628,1566,643,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0885,158362,5287,5372,5581,5381,6309,6292,7014,7702,8646,8883,9596,9699,9637,9287,9151,8425,7412,7103,6435,5248,3636,3189,1747,1330
s1290,1840,574,0,992,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1218,11260,1529,1784,1884,1853,1389,1244,881,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0277,33331,2523,2425,2967,2842,3296,3323,3312,3095,2657,2529,2250,2112,0,0,0,0,0,0,0,0,0,0,0,0
s0197,74531,1817,1795,2447,2410,2401,2533,3107,3017,3777,3826,4343,4456,5052,4980,4128,4217,3540,3705,2876,3092,2629,2132,1068,1183
s1345,6582,0,0,0,0,290,101,1592,2,2141,10,1509,0,826,0,111,0,0,0,0,0,0,0,0,0
s0551,75545,1811,1591,2397,2401,3028,2924,3646,4088,4204,4364,4301,4497,4845,4785,4462,4198,3648,3735,2975,2925,1735,1628,724,633
s0726,89078,1992,1883,2811,3026,3611,3562,4692,4940,5128,5535,5759,5847,5929,5401,4728,4688,4112,3854,3389,3237,1973,1694,718,569
s0307,21161,0,0,0,0,0,0,0,0,0,0,526,413,1136,1260,1525,1499,2222,2166,2471,2565,1866,2029,767,716
s1364,101595,3340,726,3563,3027,4067,3711,4734,5289,6141,5657,6797,6993,6322,6462,5306,5193,4365,4812,3674,3538,2732,2366,1396,1384
s0581,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,68
s0182,39003,0,0,0,0,0,0,0,0,7,5,1166,1444,2438,2775,2349,2718,3726,4019,4597,4600,2917,3142,1549,1551
s0291,17844,0,0,0,0,0,0,0,0,0,0,493,299,1019,839,1024,1034,1806,1942,2701,2317,1455,1364,841,710
s1297,88955,2944,3497,2864,2580,3758,3702,4544,4762,5212,5606,5320,5842,4821,5280,4109,4436,3939,3904,3240,3258,1873,2096,645,723
s0352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0552,17831,2830,3195,2940,1850,1724,802,1564,788,1321,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0114,83104,1588,1963,2425,3149,3290,3589,3843,4225,4302,5131,4797,4808,5584,6015,4466,4714,3865,4537,3206,3425,1800,1652,344,386
s0729,72721,2194,2396,2420,2810,2327,2259,2931,2911,3129,3538,3372,4366,4589,5320,4299,4734,3431,3907,2641,3404,1866,2150,910,817
s0683,46211,0,0,0,0,0,0,0,0,0,0,1393,566,2278,2532,3319,3192,4917,5875,5751,5928,7692,2768,0,0
s1071,12711,2873,2795,2070,1854,1039,1017,563,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0344,128025,2573,3074,3789,3403,5593,4915,5896,6892,7902,8294,8695,8365,7679,7559,6558,7328,5802,6186,5286,4715,3262,2856,676,727
s0233,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,467,305
s0076,138900,3414,3395,4872,4894,5721,6659,6908,6631,7521,8239,7957,9060,9138,9642,7254,7347,6136,6081,5011,5016,3305,3206,688,805
s0413,119363,2553,3095,4341,3457,4171,4190,5448,5887,7116,6990,8377,7705,7812,8346,7173,6705,6013,5836,4834,4083,2374,1885,538,434
s0000,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
s0036,9251,2527,1280,3070,270,1760,162,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0688,128006,583,4031,4037,3942,5169,5276,6906,6897,6796,7864,8140,8448,8073,7739,6771,6970,5398,5919,5291,5445,3127,2950,1098,1136
s0370,127932,4077,3802,4109,3607,4797,4350,6083,6003,6996,7067,7949,7645,7718,7693,7071,6534,5919,6470,5420,5461,3567,3222,1181,1191
s0567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0751,154263,6278,5362,5440,5074,6231,6291,7414,7855,8152,8826,8881,8922,8611,8928,7638,8626,7087,7063,5705,5716,4069,3971,1265,858
s0983,146145,3346,3384,4202,4420,5719,5509,6782,7018,7881,8614,9439,8441,9140,9242,8159,7946,8050,6992,5767,5913,3404,3386,1796,1595
s1161,141672,2875,3673,4884,4437,6162,5887,8317,7276,8782,7888,8722,8980,8388,9032,7036,7755,7119,6344,5347,5211,3320,3300,516,421
s1086,142725,2723,3005,3805,4108,5677,5800,6770,7240,7753,8518,8678,8679,8992,9532,8066,8211,7415,7145,5826,5503,3756,3397,1018,1108
s0955,6591,0,1704,0,1784,0,1597,0,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0059,75948,1514,1902,2525,2370,3007,2809,3302,3560,4194,3921,4525,5178,5047,4912,4298,4117,3540,3326,3189,2994,1795,1748,1071,1104
s0504,8202,1359,1940,392,1021,197,508,265,389,316,420,308,276,339,472,0,0,0,0,0,0,0,0,0,0
s0834,79476,689,2498,2887,2145,2351,2431,3045,3060,3643,3968,4401,4436,4997,5720,5330,5741,4477,4612,3594,3890,1899,2301,603,758
s1061,77608,2148,2214,2458,2549,3045,2897,3731,3878,4262,4433,4832,4933,4828,5150,3741,4083,3480,3786,3346,3198,1876,1803,507,430
s0256,24835,0,0,0,0,0,0,0,0,206,13,1059,1075,1726,1999,1734,1928,2541,2609,3080,2884,1699,1718,214,350
s0497,35137,4250,4393,4757,5119,3458,3885,2579,3008,1636,2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1173,89329,1913,1956,2760,2793,2662,2908,3227,3536,4053,4535,5212,5437,5273,5444,5182,5748,4782,4519,4386,4418,3069,2635,1584,1297
s0153,66214,0,0,0,0,0,0,0,0,781,966,2312,2536,3584,4498,4175,6608,7730,8667,6113,6111,4632,3751,1907,1843
s1154,27426,3600,3040,3266,3334,2730,2498,2620,2406,1846,1729,180,177,0,0,0,0,0,0,0,0,0,0,0,0
s0693,3109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,156,1195,630,824,0,0
s0466,15535,1707,1704,1998,2423,1701,1886,1350,1396,664,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1304,154272,4346,3515,4628,4938,5663,5380,7405,7829,8244,7806,9122,8836,9871,7410,8774,9323,7222,7723,6342,7049,4840,4300,2077,1629
s1028,128659,2594,2955,3982,4083,5053,5052,6496,6779,6473,6972,7555,7485,8135,8532,6332,6934,6022,6187,5203,5331,3701,3457,1955,1391
s0993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0215,15797,0,0,0,0,0,0,0,0,0,0,117,278,1114,1020,1273,908,1862,1390,2596,2330,1117,1295,228,269
s1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1242,46842,4191,3995,4496,4592,5438,5210,4473,4421,3291,2601,2270,1468,396,0,0,0,0,0,0,0,0,0,0,0
s0880,104793,4091,3869,3117,3074,3160,3145,4524,4804,5077,5396,6358,6080,6930,6842,6078,5465,5536,5639,4320,4688,2220,2834,636,910
s0053,98156,0,0,0,0,0,0,2529,777,5172,3264,6305,5155,7957,7110,8542,7324,8050,7983,6908,6412,5397,5026,2348,1897
s0617,127560,4960,4943,4235,4022,5445,5474,6395,6359,6313,6601,7333,7588,7835,8218,5675,7080,5557,6025,4752,4982,2843,2844,720,1361
s0385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0347,2581,78,0,382,9,737,0,494,0,497,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0
s1145,88032,1934,2822,3166,3331,3561,4060,4367,4750,4233,5449,4994,6028,5086,5702,3998,4513,3772,4045,2681,3256,2003,1917,1204,1160
s1134,17147,1185,0,1520,0,2623,0,2573,164,2437,5,2259,0,1822,0,1167,0,695,0,681,0,4,0,12,0
s1378,316,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,108,16,0
s0615,21723,0,0,0,0,0,0,0,0,0,0,0,0,850,817,1219,1247,2149,2070,3130,3669,2226,2418,834,1094
s1110,154933,1797,3585,5061,5074,5758,5328,5920,9718,7204,11273,8220,11492,9160,8542,7495,6773,7030,9722,5903,6406,4119,4740,2290,2323
s0649,102837,3827,3572,3489,3237,4511,4012,5384,4927,6092,5853,6651,6242,6932,6266,5910,5771,4838,4640,3424,3075,2229,1955,0,0
s0881,8945,1082,1268,1250,264,1464,196,1289,115,926,28,390,0,35,0,27,0,132,0,235,14,144,86,0,0
s1002,23876,76,13,1462,291,4266,11,4838,0,4282,0,4083,0,2946,0,744,0,555,0,309,0,0,0,0,0
s0331,117338,2692,2837,3537,3641,5260,4594,6515,4444,6411,6951,7613,7042,7459,7999,6580,7008,5829,6487,4227,4095,2302,2084,891,840
s0638,3459,614,598,937,827,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0781,79764,0,0,0,0,13,9,2180,2884,6792,6242,9279,8785,9941,9784,7022,6876,4249,4012,876,820,0,0,0,0
s0484,96601,1899,2066,2570,2869,3069,3407,4099,4544,4615,5140,5592,6187,6732,6003,5785,5690,4965,4855,4289,4363,2881,2802,1099,1080
s0770,110349,2905,3929,3514,3378,4252,4362,5298,5539,6316,6821,7292,7252,7948,7386,6419,6187,5866,5058,4027,3486,1678,1202,164,70
s0229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1164,161970,4243,3839,4208,4209,5333,5253,7258,7669,9598,10254,10240,10450,10701,10055,9906,9565,7906,7422,6397,5677,4172,3371,2233,2011
s0870,1347,1264,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1107,34932,4384,4837,4367,4214,3437,3536,2689,2797,2150,2443,64,14,0,0,0,0,0,0,0,0,0,0,0,0
s0798,69545,1683,2069,2397,2385,2808,2492,3517,3271,3704,3752,3864,3989,4125,3998,3647,3585,3660,3473,2823,2825,1795,1802,982,899
s1296,151355,4576,4302,4789,4488,5953,6170,7567,7171,8855,8456,10523,9482,9645,9127,7487,8102,7523,7744,5512,5862,3184,2891,899,1047
s0493,8388,1523,1234,1796,1361,1311,1014,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0383,71528,1737,2428,2644,2343,2785,2581,3163,3651,3650,3785,3906,4047,4558,4635,4158,4250,3301,3567,2781,3059,1844,2112,286,257
s1331,23249,0,0,0,0,0,0,0,0,0,0,0,0,659,695,1431,1570,1912,2204,3705,3433,2677,2786,965,1212
s0996,39532,0,0,0,0,0,0,316,1110,1703,3363,2975,4828,5161,4898,4128,3353,3585,2006,1726,380,0,0,0,0
s1187,89515,0,0,0,0,375,29,2349,1236,4150,3235,6028,5146,7908,8151,7581,7383,6088,6520,5071,5400,4726,4188,1958,1993
s1026,37527,2277,1967,2462,723,3727,426,5393,138,5674,6,6659,0,4493,0,1534,0,1303,0,625,0,15,105,0,0
s1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0986,72915,1981,1870,2317,2507,3018,2602,3483,3242,3734,3919,4763,4391,4813,4421,4325,3956,4084,3472,2938,3167,1856,1441,386,229
s1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0743,110077,2594,2139,2975,2783,4015,3726,5433,4911,6069,6251,7095,6770,7768,7327,7002,5949,5576,5635,5339,4151,2566,2375,851,777
s0378,93817,3664,2806,3196,2975,3742,3688,4360,4891,5426,5351,5759,6465,6431,7175,4998,5907,3610,4730,2932,3076,1522,1113,0,0
s0730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0371,84908,2127,2013,2360,2484,3061,3239,3775,4087,4147,5261,5371,5905,5000,5356,4655,4847,3773,4301,3288,3351,2143,2212,1260,892
s0924,135157,3050,2815,4758,5219,5297,5512,6542,6463,7547,8114,8474,9137,8758,8912,6962,8169,6502,6450,4820,4615,3052,3112,392,485
s0234,13147,2290,2275,2756,2285,1583,1027,497,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1222,22231,3285,2819,3467,3364,2768,2169,1650,1656,543,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1037,43093,0,0,0,0,0,0,93,211,863,1086,1582,2103,2743,2795,2932,3545,3768,4255,4139,4035,2836,3262,1476,1369
s0957,97740,2804,2415,3580,3733,4490,3975,3988,4423,5529,5117,7090,6217,6251,6092,5576,5889,4927,5180,3110,2881,1985,1880,247,361
s0851,15075,2447,3186,1837,2066,1450,1450,1351,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1152,94694,3377,3049,2960,2822,3274,3224,4443,4429,4770,5346,5800,5388,6349,6126,4955,5106,4761,4760,4016,3762,2430,2316,888,343
s1178,90700,2512,2202,2885,3094,3184,3033,4367,4804,5126,6554,5314,5519,4981,4947,6590,4468,4467,5486,2943,3745,1572,1966,369,572
s0867,7805,2553,2471,1032,606,865,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0024,143767,3718,2559,4227,3980,4346,4838,6400,6635,7812,7906,9318,8941,10055,9488,8210,8777,7342,6924,5456,5645,3887,3751,2258,1294
s0301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0325,14805,0,0,0,0,0,0,0,0,0,0,0,0,605,393,1094,1004,1635,1552,2415,2463,1434,1524,308,378
s1388,88191,2133,2579,2909,2622,3261,3111,4108,4262,4401,4463,4573,5150,5499,5940,5123,5246,4687,4705,3756,3336,2087,1958,1116,1166
s0324,16480,0,0,0,0,0,0,0,0,0,241,416,907,1055,989,1240,929,2030,1150,1864,1954,1448,1487,327,443
s1244,50471,0,0,0,0,0,0,0,0,792,579,2217,1735,3438,3566,5789,6935,5956,6493,4198,4119,2309,2319,25,1
s0407,122165,3318,3687,3890,3582,4248,4500,5383,6172,6313,7335,7876,8149,8903,8529,6864,6905,5775,5967,4104,4376,2450,2218,847,774
s0747,135090,4244,4271,5112,5066,4341,4524,5987,6037,6499,7582,7213,7909,8694,8876,7360,7728,6196,6877,5352,5141,3842,3525,1249,1465
s0521,296,0,0,129,0,31,128,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0935,17502,1785,762,2349,1207,1988,1060,2541,1179,1944,857,1692,13,125,0,0,0,0,0,0,0,0,0,0,0
s0783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0263,18483,2529,3075,3267,3442,1908,1964,1158,1125,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0468,78913,0,0,0,0,0,0,0,0,816,160,2897,3476,5731,6134,6745,6615,8114,8567,7899,7520,4695,5223,2217,2104
s0191,21208,1870,2065,712,1119,573,929,601,995,619,1201,699,1124,628,1115,607,1015,462,1026,479,839,542,847,424,717
s0721,29891,0,0,0,0,0,0,0,0,0,9,633,805,1384,1630,1797,2334,3890,4201,3365,3239,2330,2530,903,841
s0780,73948,3132,2721,2643,2550,2924,2891,4037,4217,4404,4865,4857,5053,5003,5236,3588,3326,3207,2909,1970,1896,981,985,305,248
s0469,67447,1394,1796,2117,2439,2563,2819,3380,3393,3702,4140,4299,4731,4211,4296,3045,3545,2976,3165,2155,2546,1446,1597,779,913
s1399,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0550,158617,4312,4126,5151,4882,6519,6040,7953,7110,8996,8110,10234,9864,10032,9962,9251,8161,7406,7591,5337,5455,3699,3900,2124,2402
s0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0931,111870,3288,3246,3277,3233,3676,3658,5069,5013,5512,6028,6516,6508,7109,7213,5745,5978,5667,5931,4724,4640,3332,3046,1640,1821
s0381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0587,113226,2286,2696,2971,3359,4304,4522,5373,5414,6662,6841,7588,7718,7106,8267,5558,5919,4675,5471,4128,4027,2939,3093,1102,1207
s1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0793,58978,1810,1718,2319,2100,2190,2446,2976,2885,3299,3644,3672,3984,3634,3870,3208,3366,2685,2714,2036,2355,1005,988,19,55
s0123,118540,3553,3230,3733,3589,5029,4612,5621,6028,7128,7257,7475,7450,7403,7566,6377,6500,5739,5952,4032,4750,1982,2269,640,625
s0275,49753,0,0,0,0,0,0,0,0,0,0,462,317,2492,2119,4039,3995,6860,7596,6187,6008,3186,3235,1521,1736
s0698,114232,3433,2658,3278,3659,4618,4787,5458,5768,5970,6453,6623,6933,8031,7959,6675,6721,5479,5999,4129,4652,2098,1985,477,389
s0824,115680,3563,4377,4158,4103,4426,4739,5635,5403,6706,6745,6975,7185,8126,7835,6309,5855,4557,4916,3997,3838,2426,2223,813,770
s0158,30054,0,0,0,0,0,0,0,0,0,0,237,1029,1561,2059,1972,1980,2174,2330,3366,3372,3402,3378,1711,1483
s1013,101453,2803,2467,3014,2623,3615,3235,4201,4329,5142,5311,6085,6314,6781,6809,6180,6219,4729,4545,4066,4123,2884,2912,1467,1599
s0412,110875,3595,3149,4231,3992,3895,4255,5236,5603,5752,6630,7388,6879,6370,6708,5349,5009,4845,5262,3981,4448,3075,2647,1252,1324
s0809,17516,2978,2687,3116,1375,1343,976,1074,912,1128,1138,586,203,0,0,0,0,0,0,0,0,0,0,0,0
s0792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0877,34771,0,0,0,0,0,0,439,462,1585,1446,2342,1943,3877,4473,3701,4169,2849,3075,1753,1812,369,476,0,0
s0503,23645,2691,2875,2700,2683,2386,2446,1816,2343,1414,1818,160,313,0,0,0,0,0,0,0,0,0,0,0,0
s1274,40773,2253,2057,3202,3277,3509,3599,4675,4644,3941,3984,2703,2929,0,0,0,0,0,0,0,0,0,0,0,0
s0132,20346,0,0,0,0,0,0,0,0,0,0,0,0,1171,862,1878,1706,2125,1886,3196,2652,1817,1812,615,626
s0561,108711,2938,3022,3418,3143,4398,4096,4945,4820,5291,5880,6515,6628,6488,6634,5881,6275,5626,5705,4671,4284,3251,2643,1140,1019
s0476,119187,2968,3305,3239,3653,3804,4248,5692,6136,7109,6920,7275,7527,7827,7710,6494,6544,6024,5823,4636,4215,3056,2678,1211,1093
s0849,41455,2382,3023,3630,4019,3447,3911,3328,3425,2944,3330,2313,2464,1509,1730,0,0,0,0,0,0,0,0,0,0
s0950,95735,2607,2269,3001,2869,3931,3773,4841,5130,5295,5519,6941,6173,6174,5592,4856,4781,4288,4141,3647,3267,2347,2346,1035,912
s1203,98978,2383,2203,3492,2861,4556,4796,5708,5756,6080,6917,7466,7649,7325,7710,5893,5963,4628,4406,1500,1686,0,0,0,0
s0475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0358,82438,1625,2124,3359,3092,3678,2948,4362,3821,5763,4867,5010,5587,5045,5225,4650,4273,4058,3987,2702,2912,1576,1774,0,0
s0916,135475,2163,2493,4296,4013,4599,4916,6247,6733,7398,7936,8087,8672,8110,8890,7288,8057,6099,6933,5542,5561,3633,3370,2141,2298
s0366,20182,0,0,0,0,0,0,0,0,0,0,50,0,1337,0,2450,403,3528,2918,3056,3122,1696,1622,0,0
s0951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0660,29880,3701,3241,3834,3763,2774,2330,2055,2186,1691,1695,1352,1258,0,0,0,0,0,0,0,0,0,0,0,0
s0294,47184,0,0,0,0,0,0,0,0,1774,1037,2693,2451,4527,4108,4708,3827,5757,5647,3913,4021,1303,1418,0,0
s1105,93006,3065,2119,2649,3121,3289,3402,4639,4564,4730,5599,5422,5967,5526,6015,4647,4995,4501,4969,3411,3904,2108,2219,1082,1063
s0626,69829,2017,1790,2222,2173,2775,2853,3517,3459,3752,4099,4335,4385,4523,4717,3481,4084,2946,3135,2406,2698,1608,1429,680,745
s1038,130408,3393,3164,4046,3807,5304,4249,6705,5539,8544,7548,8901,7859,8969,8424,6873,6899,6827,5592,4852,4512,3081,2912,1206,1202
s1269,97231,2688,3016,3401,4019,4139,4399,5707,5807,5896,5906,6696,7024,7059,7216,4081,5083,2864,4418,2293,2860,1187,1233,45,194
s1135,138929,3318,3012,5167,4763,5443,5750,6467,6339,6730,7489,7837,8682,8494,8526,7623,7965,6528,6659,6221,6403,3717,3443,1345,1008
s0242,21732,0,0,0,0,0,0,0,0,0,0,490,117,1296,1291,1473,1573,1916,2105,2699,2311,2380,2242,937,902
s0579,16683,0,0,0,0,0,0,0,0,0,0,0,0,378,201,2486,1208,2407,1203,2161,1267,1779,1232,1265,1096
s0054,35010,0,0,0,0,0,0,135,120,1042,1312,1815,2009,2431,2588,3023,3512,3737,4102,2692,2568,1655,1542,154,573
s0995,66656,0,0,0,0,0,0,17,55,3281,3006,6747,5569,8460,7009,7272,6886,5322,6286,2700,3222,482,342,0,0
s0282,2380,690,738,522,414,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1033,96934,2153,1686,2634,3549,4742,4478,5208,5483,6564,6396,7488,7923,7417,6131,6563,2660,5746,1806,4210,1902,1433,762,0,0
s0790,76045,2700,1795,2583,2810,2915,3028,3432,3717,3999,4305,4720,5078,5017,5448,3957,4255,3336,3197,2438,2755,1826,1552,598,584
s0430,141052,3739,4208,3854,3890,4133,4564,6048,5751,10170,8032,8140,8749,7187,9459,6526,8427,6804,7703,5790,6034,4109,4300,1638,1797
s0281,32678,5177,4829,3838,3183,3332,2771,3105,2293,2386,1716,48,0,0,0,0,0,0,0,0,0,0,0,0,0
s1121,7748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,579,552,758,763,874,953,1126,801,964
